transaction_id,date,category,vendor,amount,payment_method,budget_allocated
TXN-0001,2025-07-01,Transportation,Metro Card,14.39,Cash,90
TXN-0002,2025-07-01,Health,Walgreens,21.22,Credit Card,60
TXN-0003,2025-07-01,Entertainment,Concert Tickets,17.17,Debit Card,80
TXN-0004,2025-07-01,Entertainment,Netflix,13.98,Credit Card,80
TXN-0005,2025-07-02,Groceries,Costco,22.89,Debit Card,280
TXN-0006,2025-07-02,Groceries,Costco,8.35,Debit Card,280
TXN-0007,2025-07-03,Groceries,Costco,14.71,Debit Card,280
TXN-0008,2025-07-04,Groceries,Walmart,20.61,Cash,280
TXN-0009,2025-07-04,Dining Out,Subway,9.43,Debit Card,120
TXN-0010,2025-07-05,Dining Out,Starbucks,5.47,Credit Card,120
TXN-0011,2025-07-05,Transportation,Parking Meter,7.18,Debit Card,90
TXN-0012,2025-07-06,Subscriptions,iCloud,15.0,Cash,45
TXN-0013,2025-07-06,Transportation,Metro Card,11.21,Venmo,90
TXN-0014,2025-07-07,Groceries,Aldi,25.91,Apple Pay,280
TXN-0015,2025-07-07,Dining Out,Panera,17.39,Apple Pay,120
TXN-0016,2025-07-07,Dining Out,Chipotle,4.76,Venmo,120
TXN-0017,2025-07-07,Dining Out,Campus Cafe,7.41,Cash,120
TXN-0018,2025-07-08,Entertainment,Concert Tickets,17.27,Debit Card,80
TXN-0019,2025-07-08,Groceries,Safeway,16.8,Credit Card,280
TXN-0020,2025-07-08,Textbooks,Amazon,3.0,Cash,60
TXN-0021,2025-07-08,Entertainment,Steam,12.08,Cash,80
TXN-0022,2025-07-08,Dining Out,Campus Cafe,12.29,Debit Card,120
TXN-0023,2025-07-09,Groceries,Walmart,18.78,Apple Pay,280
TXN-0024,2025-07-09,Transportation,Lyft,12.84,Debit Card,90
TXN-0025,2025-07-09,Dining Out,Thai Express,5.52,Debit Card,120
TXN-0026,2025-07-11,Rent,Campus Housing Office,850.0,Venmo,850
TXN-0027,2025-07-12,Transportation,Lyft,11.21,Cash,90
TXN-0028,2025-07-12,Groceries,Walmart,18.16,Debit Card,280
TXN-0029,2025-07-12,Groceries,Walmart,21.8,Credit Card,280
TXN-0030,2025-07-12,Dining Out,Campus Cafe,13.18,Venmo,120
TXN-0031,2025-07-13,Dining Out,Chipotle,10.75,Debit Card,120
TXN-0032,2025-07-13,Entertainment,Steam,18.55,Venmo,80
TXN-0033,2025-07-14,Entertainment,Concert Tickets,29.31,Apple Pay,80
